ID,start_DOB,season,season_Fall,season_Spring,season_Summer,season_Winter,year,lon,lat,total_area,duration,max_daily_area,avg_daily_area,extreme_growth_pct,max_fwi,max_isi,max_dmc,max_dc,max_tmax,max_ws,min_rh,avg_fwi,avg_tmax,avg_rh,avg_Biomass,avg_Closure,avg_prcC,avg_prcD,avg_dem,avg_slope,avg_twi,avg_hydrodens10k,fire_intensity_index,weather_severity_index,fuel_complexity_index,season_Winter_weather,season_Spring_weather,season_Summer_weather,season_Fall_weather,fuel_moisture_index
2002_109,175,Summer,False,False,True,False,2002,-116.437508243454,56.8189848732091,9833.4,5,7565.4,1966.6799999999998,20.0,31.5665473937988,11.9410340847298,65.2756244825281,303.353546142578,28.1187114715576,15.9148193396133,27.615606789109,25.61011089817622,26.03555236361036,34.10438139361458,101.81202723872418,63.75970304789441,90.95749650879586,9.042503491204142,684.2770944760064,1.29637943920476,5.8420451066365215,0.05368124694748254,0.7693574958813839,0.36713804264163985,0.19681700304128272,0.0,0.0,0.36713804264163985,0.0,73.69601813245757
2002_11,167,Summer,False,False,True,False,2002,-128.964288329772,60.8884718783462,6097.68,7,3625.56,871.0971428571429,14.285714285714285,8.39758107694275,4.47177205812771,21.3112595605209,86.5319453183846,16.6404656038156,17.8829447632927,35.1803275168848,3.8260326519763734,13.423134848646479,44.67374048567985,68.19483782695889,48.730389660088356,96.00796761282392,3.992032387176107,1112.9959328049058,9.975702039227997,5.871223671704868,0.014170894150898315,0.5945802337938363,0.051759308191817066,0.10634997853044227,0.0,0.0,0.051759308191817066,0.0,44.203670529826304
2002_116,176,Summer,False,False,True,False,2002,-114.813367262572,56.9877788109669,8505.0,3,5916.24,2835.0,33.33333333333333,37.2492280920271,14.0901569677711,72.96431850003,333.285854561044,28.8842017204059,15.5340756229929,27.5496305795051,31.4877525697232,26.558464762426468,32.0745135540005,90.97104564678675,57.676210821546334,80.97604310329946,19.023956896700568,573.9882349012804,1.4891521187571335,5.80213470220308,0.047297234912728164,0.6956190476190475,0.44543075753697847,0.1416234610633509,0.0,0.0,0.44543075753697847,0.0,65.90885863678405
2002_130,175,Summer,False,False,True,False,2002,-115.079356414869,56.7584239468645,3943.08,17,2592.0,231.94588235294117,11.76470588235294,32.6774106820424,12.2761449229484,79.563362121582,408.853149414063,29.4882965087891,16.3048324584961,26.0835037231445,17.556835021215395,22.187088980166017,44.76559351391997,125.4503670723021,69.09137658691735,79.9027366355139,20.0972633644861,546.5206805090373,1.6624413279386308,5.896025673349698,0.011041254635290154,1.314708299096138,0.4070058439358129,0.2308533501290484,0.0,0.0,0.4070058439358129,0.0,92.72851590629975
2002_131,194,Summer,False,False,True,False,2002,-109.603869810042,57.5846111595609,1584.36,1,1584.36,1584.36,0.0,4.61766509483197,1.95567812729467,25.6242355939557,141.392228608239,28.0292120467422,8.37040507427754,47.3896151739639,4.61766509483197,28.0292120467422,47.3896151739639,16.9834556072524,55.9051798838048,98.4295329152243,1.57046708477573,535.431720070556,2.05222431852164,5.61729774007037,0.0825611402514888,0.0,0.03891049454201297,0.03115173782213853,0.0,0.0,0.03891049454201297,0.0,8.935061351734493
2002_132,174,Summer,False,False,True,False,2002,-111.299846933574,57.3002562234928,6606.36,5,2653.56,1321.272,20.0,25.1166243198008,10.5874632927379,43.3483473902366,253.129849164914,30.3258098583664,11.7627385506263,31.9382581564096,13.879935390941569,27.57332352885212,37.93730830642568,90.67876858011944,62.9551793696492,83.13333906460686,16.866660935393163,316.7004383999566,1.1897262904539114,6.04109976075354,0.0422355432019531,0.40166748406081415,0.2962365819479777,0.1581943793905362,0.0,0.0,0.2962365819479777,0.0,61.717549377947655
2002_137,177,Summer,False,False,True,False,2002,-113.956273460406,56.9296095235017,972.0,1,972.0,972.0,0.0,31.9591016769409,11.6284347375234,61.6865348815918,325.591168721517,26.3814398447672,12.7269815603892,29.7034494082133,31.9591016769409,26.3814398447672,29.7034494082133,83.5000612576803,51.0580185699463,90.3404425700382,9.65955742996186,526.270925496419,1.02075700973471,6.19604441165924,0.0126353361628328,0.0,0.3386795893298225,0.1283842386954429,0.0,0.0,0.3386795893298225,0.0,58.697662806178116
2002_139,178,Summer,False,False,True,False,2002,-110.564757900187,57.3746460359227,3311.2799999999997,2,1730.16,1655.6399999999999,0.0,24.2485237082497,11.0994022654705,40.0188789133166,180.107009059034,32.6263124130192,12.1352677951094,32.9430635170859,14.252906433037134,31.336687776318797,38.0498984953372,47.92886403700905,53.8890313255185,95.14330291338234,4.856697086617675,440.6652049169275,1.439940288919915,5.69925576793362,0.01294967546061335,0.0,0.30315096398846997,0.08191331125866906,0.0,0.0,0.30315096398846997,0.0,32.139627914279416
2002_140,169,Summer,False,False,True,False,2002,-105.928079930631,57.8071037019892,29234.520000000004,10,17470.08,2923.452,20.0,38.9418124285611,16.8363544290716,70.6533230868253,206.137960260565,29.7897960922935,17.3638702432315,21.2658029036088,18.08020684701604,22.35931012683659,33.287325251523455,20.50187855192936,36.14699236920277,98.84286008459172,1.1571399154083122,491.81944222437625,2.1731241127361782,5.348221931289411,0.11233099799665588,1.1951679042447079,0.5219261363952715,0.02441686335498879,0.0,0.0,0.5219261363952715,0.0,16.141989467538817
2002_142,173,Summer,False,False,True,False,2002,-105.480721142239,57.6953525997663,34078.32,20,12574.44,1703.916,25.0,34.1151427262697,16.1780943616269,60.241181887289,160.30100440979,33.7140935168547,20.6315171788721,22.0155437702616,9.157664265318092,21.60252920239052,51.193910836436544,30.60054224503191,52.849739002913665,97.21290402008727,2.7870959799127357,590.0468136797375,2.9227583713288263,5.355506195271142,0.20131994551269675,1.8449324966723712,0.5125410795007056,0.0524052299993427,0.0,0.0,0.5125410795007056,0.0,23.863666473139517
